Academic,"Arts, Media, and Publications",Athletic and Recreation,Campus Governance,Career and Professional,Common Interest,Community Building,Cultural and Identity,"Environmental, Science, and Technology","Faith, Religion, and Spirituality",Personal Development and Wellbeing,Political,Service and Social Action
,The UNICEF Club at Duke University,,,Neural Engineering Undergraduate Union,,Nicholas School Partners and Spouses,The Black and Latino MBA Organization,,,,,Harmonies for Health at Duke
,Undergraduate Environmental Union,,,"Omega Psi Phi Fraternity, Inc.",,Noetherian Ring,The UNICEF Club at Duke University,,,,,Health Education for Youth (HEY) Durham
,Women Law Students Association,,,Phi Delta Epsilon International Medical Fraternity,,Office of Assessment,Turkish Students Association,,,,,"Health, Advocacy, and Readiness for Teens"
,,,,Sanford Net Impact,,Office of Fraternity and Sorority Life,,,,,,Hearts for the Homeless Durham
,,,,Sanford Veterans Association,,Office of Student Conduct,,,,,,Immigrant Advocates
,,,,Scale and Coin,,"Omega Psi Phi Fraternity, Inc.",,,,,,INJAZ
,,,,Society of Hispanic Professional Engineers,,Orientation 2020,,,,,,J Street U Duke
,,,,Society of Women Engineers,,Panhellenic Association,,,,,,Liberty in North Korea
,,,,Sophomore Year Experience,,Parent & Family Programs,,,,,,McKids of Duke University
,,,,Student National Medical Association,,Parents and Families,,,,,,MedMentors
,,,,TAMID at Duke,,Partners in Policy,,,,,,Melanin Healthcare Professionals
,,,,The Duke MBA Net Impact Club,,Penny Pilgram George Cohort,,,,,,NeuroCare
,,,,The UNICEF Club at Duke University,,"Phi Beta Sigma Fraternity, Inc.",,,,,,Nicholas PhD Advocacy Council
,,,,Undergraduate Financial Support,,Pi Beta Phi,,,,,,"Omega Psi Phi Fraternity, Inc."
,,,,White Coats for Black Lives,,Pi Kappa Alpha,,,,,,OutLaw
,,,,Wingman's Society,,Pi Kappa Phi,,,,,,Pancakes for Parkinson's
,,,,Women in Technology,,Police Department,,,,,,Partners In Health Engage
,,,,,,Project Arts,,,,,,Peer Advocacy for Sexual Health
,,,,,,Project BUILD,,,,,,Planned Parenthood Generation Action Duke
,,,,,,Project CHANGE,,,,,,Polis: Center for Politics
,,,,,,Project SEARCH,,,,,,Progress. Period.
,,,,,,Project WAVES,,,,,,Project HEAL: Health Equity and Awareness in Latinx Communities
,,,,,,Project WILD,,,,,,Project Tadpole
,,,,,,Psi Upsilon,,,,,,Refugee Health Initiative
,,,,,,Sanford Pride,,,,,,Rotaract Club of Duke University
,,,,,,Sigma Chi,,,,,,Runway of Dreams at Duke
,,,,,,Sigma Nu,,,,,,Sanford Social Committee
,,,,,,Sigma Phi Epsilon,,,,,,Social Justice Volunteers
,,,,,,Speak of the Devil,,,,,,Special Olympics College
,,,,,,Student Engagement,,,,,,Student Advisory Board at the DHRC@FHI
,,,,,,Student Health,,,,,,Student Mentoring & Academic Reinforcement Tutoring Progam
,,,,,,Student Wellness Center,,,,,,Team One Love at Duke
,,,,,,Team One Love at Duke,,,,,,The Girls Club
,,,,,,The Source,,,,,,The UNICEF Club at Duke University
,,,,,,The UNICEF Club at Duke University,,,,,,Undergraduate Environmental Union
,,,,,,Transfer Students Union,,,,,,White Coats for Black Lives
,,,,,,UCAE Student Employees,,,,,,WISER Duke
,,,,,,Undergraduate Environmental Union,,,,,,
,,,,,,Women's Center,,,,,,
,,,,,,"Zeta Phi Beta Sorority, Inc.",,,,,,
,,,,,,Zeta Tau Alpha,,,,,,
